Компания;Банкрот?;год;Финансовые вложения (за исключением денежных эквивалентов);Внеоборотные активы;Запасы;Дебиторская задолженность;Денежные средства и денежные эквиваленты;Оборотные активы;Активы  всего;Нераспределенная прибыль (непокрытый убыток);Капитал и резервы;Долгосрочные обязательства;Заёмные средства (краткосрочные);Кредиторская задолженность;Краткосрочные обязательства;Пассивы всего;Выручка;Себестоимость продаж;Прибыль (убыток) от продажи;Проценты к уплате;Прибыль (убыток) до налогообложения ;Текущий налог на прибыль;Чистая прибыль (убыток);"Коэффициент абсолютной ликвидности где ОАНЛ – оборотные активы, наиболее ликвидные, к
которым относятся денежные средства и краткосрочные финансовые вложения; ТО – текущие обязательства, которые рассчитываются как сумма краткосрочных заемных средств, кредиторской задолженности и
прочих краткосрочных обязательств";ОА/КО;коэффициент финансовой зависимости [заемные средства/валюта баланса];Доля чистого оборотного капитала в активах [(ОА-КО)/общая величина активов];"Доля формирования активов за счет
нераспределенной прибыли [НП/Авсего]";рентабельность активов, рассчитанная исходя из прибыли до уплаты процентов и налогов;коэффициент оборачиваемости активов;коэффициент соотношения акционерного капитала и обязательств;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;доля формирования активов за счет заемных средств = Кфз;доля формирования активов за счет краткосрочных обязательств;"(коэффициент покрытия обязательств
оборотным капиталом";(коэффициент соотношения прибыли до уплаты процентов и налогов и суммы процентов к уплате;доля быстрореализуемых активов в общей величине активов;"(доля постоянного капитала в общей
сумме источников средств";"доля финансовых расходов
в выручке";"(коэффициент соотношения прибыли
до уплаты процентов и налогов и заемного
капитала";доля оборотного капитала в общей величине активов;"(рентабельность активов, рассчитанная
исходя из прибыли от продаж";"(коэффициент соотношения собственного
и заемного капиталов (ПОМЕНЯЛА: ЗАЕМН/СОБСТВ)";(коэффициент соотношения прибыли от продаж и краткосрочных обязательств;коэффициент соотношения оборотных активов и обязательств;"доля оборотного капитала в валюте
баланса";"коэффициент соотношения прибыли до
налогообложения и краткосрочных
обязательств";рентабельность собственного капитала;"рентабельность затрат на проданную (произведенную) продукцию, рассчитанная исходя из чистой
прибыли";коэффициент убыточности предприятия;(коэффициент соотношения кредиторской и дебиторской задолженностей gjvtyzkf vtcnfvb;(коэффициент убыточности продажи продукции);коэффициент загрузки активов;коэффициент обеспеченности собственными оборотными средствами;коэффициент менеджмента;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;(коэффициент оборачиваемости запасов ПОМЕНЯЛА МЕСТАМИ;коэффициент структуры капитала (леверидж));коэффициент рентабельности;(коэффициент эффективности;(коэффициент оборачиваемости совокупного капитала;Шеремет
ООО А-ФАРМ;1;2021;970;315 460;209 605;1 116 039;66 644;1 559 827;1 875 287;348 515;648 515;11 716;622 447;590 153;1 215 056;1 875 287;3 560 081;3 176 554;124 935;67 085;159 026;-31 728;127 248;0,027851557;1,283749062;0,654178267;0,183849725;0,18584622;0,120574077;1,898419282;0,533732602;0,245215608;0,654178267;0,64793069;1,283749062;3,370515018;0,630667732;0,345821733;0,009931516;0,184313793;0,831780415;0,066621802;0,959803551;0,102822421;1,271488916;0,831780415;0,130879564;0,196214428;0,040058504;0;1,891101121;0;0,526754026;0,213520474;0,035093303;0,245215608;0,058876469;0,528635313;0,067855214;0,035743007;5,489589292;1,27780601
ООО БЕЛИЧЬЯ ПУСТОШЬ;1;2019;0;0;0;10 501;0;10 501;10 501;0;160;0;0;10 341;10 341;10 501;437;437;0;0;0;0;0;0;1,015472391;0,984763356;0,015236644;0;0;0,041615084;0,015472391;0;0,984763356;0,984763356;1,015472391;0;1;0,015236644;0;0;1;0;0;0;1,015472391;1;0;0;0;0;1,015472391;0;24,02974828;0,015236644;0;0;0;0,015472391;0;0;2,73125;1,984763356
ООО БЕЛЫЙ МЕДВЕДЬ НН;1;2020;0;53 365;1 589;0;87;1 676;55 041;0;36 868;14 336;0;3 837;3 837;55 041;10 595;10 287;308;0;230;0;230;0,011336982;0,436799583;0,330172054;-0,039261641;0;0,004178703;0,192492869;9,608548345;0,006238472;0,330172054;0,069711669;0,436799583;0;0,00158064;0,669827946;0;0,012656138;0,030450028;0,005595829;0;0,080271045;0,092224729;0,030450028;0,059942664;0,006238472;0,022358316;0;0;0;5,19499764;-9,843078759;0,029070316;0,006238472;0,149976404;2,028723931;0,004178703;0,021708353;0,287376587;0,071292309
ООО БЛИНОФФ-ПЕТЕРБУРЖСКАЯ;1;2016;34 025;0;2 418;39 388;338;76 169;76 169;59 268;59 278;0;488;16 403;16 891;76 169;71 538;57 916;13 091;149;13 472;129;13 343;1,017198508;4,509442899;0,221756883;0,778243117;0,77811183;0,178826032;0,939200987;3,509442899;0,227268126;0,221756883;0,221756883;4,509442899;91,41610738;0,521550762;0,778243117;0,003886047;0,806405778;1;0,17186782;0,008232397;0,775028121;4,509442899;1;0,797584512;0,22509194;0,230385386;0;2,401268061;0;1,064734826;0,778243117;0,182993654;0,227268126;0,033800218;3,509442899;0,175176253;0,186516257;1,206822093;1,190011685
ООО БЭЛЬ ПАРФЮМ;1;2018;0;79 388;566 166;28 975;34 737;630 018;709 406;43 170;43 270;101 015;2 670;562 451;565 121;709 406;778 999;350 447;-53 221;5 100;-16 117;419;-22 820;0,030734126;1,114837353;0,939005309;0,09148076;0,060853728;-0,015529894;1,098100383;0,076567673;-0,372475156;0,939005309;0,796611531;1,114837353;-2,160196078;0,089810348;0,060994691;0,007084733;-0,016538665;0,888092291;-0,07502192;0,06170557;-0,094176291;0,945779841;0,888092291;-0,028519556;-0,52738618;-0,065116836;-0,52738618;0,051515599;-0,029294004;0,910663557;-0,057328521;-0,068319728;-0,372475156;0,726786556;0,064956706;-0,032167757;-0,029294004;18,00321239;0,88642188
ООО ВИКТОРИЯ;1;2019;0;10;0;152;0;152;162;0;10;0;0;152;152;162;10 890;10 835;55;0;55;109;-54;0;1;0,938271605;0;0;0,339506173;67,22222222;0,065789474;5,5;0,938271605;0,938271605;1;0;0,938271605;0,061728395;0,010009183;0,361842105;0,938271605;0,339506173;0;0,361842105;1;0,938271605;0,361842105;-5,4;-0,004983849;-5,4;1;-0,004958678;0,014876033;0;0,005050505;5,5;0;0,065789474;-0,333333333;-0,004958678;1089;1,87654321
ООО ВИННАЯ ВЫСТАВКА;1;2017;0;1 859;83 254;20 391;10 030;113 675;115 535;0;13 775;0;0;101 760;101 760;115 535;501 711;471 717;29 994;5 336;1 677;601;1 076;0,049282626;1,11708923;0,88077206;0,103128922;0;0,060700221;4,342502272;0,135367531;0,121742287;0,88077206;0,88077206;1,11708923;1,31428036;0,263305492;0,11922794;0,011833506;0,06891706;0,983900982;0,259609642;0;0,294752358;1,11708923;0,983900982;0,016479953;0,078112523;0,002281029;0;0,200383255;0;0,230281975;0,104825159;0,059783421;0,121742287;0,165940153;0,135367531;0,009313195;0,002144661;36,42185118;1,144077552
ООО ВЛАДИСЛАВА;1;2017;0;55 898;12 593;7 449;1;22 544;78 442;3 878;3 888;0;45 012;29 542;74 554;78 442;29 392;23 604;2 655;6 774;-4 145;0;-4 145;6,70655E-06;0,302384849;0,950434716;-0,663037658;0,049437801;0,033515209;0,374697229;0,052150119;-1,066100823;0,950434716;0,950434716;0,302384849;0,388101565;0,094974631;0,049565284;0,230470876;0,035263031;0,287397058;0,033846664;11,57716049;0,035611771;0,302384849;0,287397058;-0,055597285;-1,066100823;-0,17560583;-1,066100823;0,252149482;-0,141024769;2,668821448;-2,307044003;0,090330702;-1,066100823;0,428449918;0,052150119;-0,05284159;-0,141024769;7,559670782;1,045409347
ООО ТД АБАКАН;1;2018;0;749;3 305;661;80;4 046;4 795;663;693;0;2 000;2 102;4 102;4 795;4 099;3 954;65;0;65;13;52;0,009751341;0,986348123;0,855474453;-0,011678832;0,13826903;0,013555787;0,854848801;0,16894198;0,093795094;0,855474453;0,855474453;0,986348123;0;0,154535975;0,144525547;0,003171505;0,015845929;0,84379562;0,013555787;2,886002886;0,015845929;0,986348123;0,84379562;0,015845929;0,075036075;0,013151239;0;0,314462417;0;1,169797512;-0,01384083;0,015857526;0,093795094;0,806294218;0,16894198;0,01084463;0,012686021;5,914862915;1,010010428
ООО ТК А-МЕТ;1;2018;0;0;156;389;60;679;679;95;105;0;0;574;574;679;31 245;30 895;350;0;325;21;304;0,052264808;1,182926829;0,845360825;0,154639175;0,139911635;0,478645066;46,01620029;0,182926829;3,095238095;0,845360825;0,845360825;1,182926829;0;0,661266568;0,154639175;0,000672108;0,566202091;1;0,515463918;0;0,609756098;1,182926829;1;0,566202091;2,895238095;0,00983978;0;0,677700348;0;0,021731477;0,154639175;0,011201792;3,095238095;0,004992799;0,182926829;0,447717231;0,009729557;297,5714286;1,506627393
